docID,date,refDocID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
174449,2015-09-17,173388,65,quarter,fiscal,growth,nongaap,margin,million,basis,operating,currency,revenue,expect,business,half,look,fourth,ultrasound,compared,thats,call,strong
175049,2015-09-17,168887,66,debt,government,money,monetary,sovereign,currency,countries,sovereignty,safe,country,investment,governments,value,own,currencies,economic,monetarily,private,sector,assets
176431,2015-09-18,166621,67,investment,economic,news,government,corbyn,osborne,spending,boe,borrow,bank,reuters,money,labours,britains,britain,voters,times,finance,business,doesnt
177065,2015-09-19,203699,68,economic,germany,fiscal,fed,european,risk,qe,ecb,german,eurozone,growth,policy,rates,central,fomc,inflation,economies,data,global,immigration
177425,2015-09-20,165507,69,policy,monetary,economy,fiscal,yellen,inflation,fed,demand,market,result,rule,keynesian,cause,aggregate,rates,money,offset,instrument,shock,base
177613,2015-09-20,176431,70,news,infrastructure,billion,reuters,bank,foreign,business,central,economic,governor,growth,mobilise,projects,fund,invest,told,sovereign,rahman,banks,government
178469,2015-09-21,177613,71,fund,news,caisse,infrastructure,pension,mexican,billion,percent,investment,ckd,im,mexico,reuters,manager,energy,investments,business,portfolio,vehicle,plans
179551,2015-09-22,174321,72,news,spending,democrats,defense,measure,vote,senate,reuters,bill,republicans,business,government,fiscal,minutes,thomson,failed,republicanled,delayed,funds,appropriations
179581,2015-09-22,179551,73,news,reuters,spending,democrats,business,defense,voting,vote,senate,minutes,bill,thomson,delayed,mutual,republicans,click,information,block,markets,finance
180235,2015-09-23,203844,74,policy,economy,tight,monetary,fiscal,rates,actually,tax,markets,government,private,wed,fed,rate,dont,deficit,pretty,orcam,cuts,arent
180584,2015-09-23,172803,75,news,brazils,reuters,budget,finance,business,growth,key,levy,minutes,thomson,delayed,efforts,spending,click,information,requires,wednesday,government,subject
181205,2015-09-24,202668,76,shutdown,debt,limit,spending,government,effect,federal,wed,deadline,extension,site,house,authority,senate,week,funding,bn,follow,banned,link
182356,2015-09-25,167968,77,fiscal,million,quarter,revenue,business,billion,ems,customer,call,dms,growth,core,earnings,income,thank,segment,share,outlook,forbes,investments
182418,2015-09-25,202668,78,thu,government,permission,site,americans,threat,follow,time,banned,link,people,immediate,half,freedoms,rights,military,cuz,attention,free,citizens
182670,2015-09-25,180584,79,news,government,economy,market,consumption,business,ma,growth,opportunity,reuters,chinese,alibaba,investment,real,billion,drive,minutes,thomson,jack,delayed
183251,2015-09-25,167152,80,news,house,pelosi,reuters,business,government,resignation,distraction,sept,boehner,minutes,thomson,delayed,spending,click,information,shutting,budget,finance,requires
183564,2015-09-25,180584,81,news,reuters,business,inflation,minutes,thomson,delayed,spending,debt,brazil,click,information,scalzaretto,finance,requires,term,government,subject,bank,worlds
184108,2015-09-27,170509,82,quarter,basis,consumer,spending,gdp,personal,strong,rate,reading,growth,brought,thank,seeking,data,pro,alpha,expenditures,inventories,product,fixed
184215,2015-09-27,184108,83,gdp,prices,oil,spending,jobs,consumer,low,energy,rates,fomc,rate,seeking,pro,alpha,coming,quarters,impact,economy,growth,report
184840,2015-09-28,159656,84,percent,spending,news,consumer,economy,inflation,rate,reuters,rose,august,fed,month,increased,business,quarter,investors,rates,grew,earlier,annual
184861,2015-09-28,172460,85,percent,news,consumer,data,spending,fed,reuters,market,nasdaq,week,shares,lower,eminis,york,contracts,markets,business,company,trading,dow
185176,2015-09-28,174321,86,spending,news,bill,congress,planned,parenthood,conservatives,funds,house,government,boehner,reuters,week,stopgap,funding,obama,deadline,business,fiscal,military
185213,2015-09-28,161252,87,news,rousseff,fiscal,reuters,brazils,business,economy,administration,economic,structural,political,president,united,largest,difficulties,world,minutes,thomson,delayed,confidence
185222,2015-09-28,183564,88,news,rousseff,reuters,business,fiscal,united,minutes,thomson,delayed,nations,click,information,finance,requires,tolerate,government,subject,allies,worlds,workers
185566,2015-09-28,167265,89,fiscal,season,pass,resorts,million,obviously,growth,strong,results,resort,market,perisher,seeing,city,business,sales,park,vail,utah,ebitda
185527,2015-09-29,160369,90,sales,quarter,fiscal,million,products,tax,loss,expense,net,future,stock,compared,investment,preferred,company,deferred,accounting,growth,assets,results
185737,2015-09-29,203699,91,fiscal,growth,latin,countries,policy,chile,prices,environment,policies,commodity,peru,six,financial,america,difficult,crisis,colombia,economic,larger,mexico
185912,2015-09-29,184215,92,government,business,projects,company,contract,companies,infrastructure,investors,lot,jobs,example,spending,people,cities,sector,thats,seeking,money,pro,alpha
186112,2015-09-29,171862,93,news,spending,billion,government,capital,euros,projects,reuters,tuesday,dublin,increase,november,cut,budget,average,business,increasing,transport,plan,irish
186175,2015-09-29,177613,94,news,bank,fiscal,central,reuters,reserves,percent,rate,governor,billion,kenyas,njoroge,treasury,july,position,exchange,budget,banks,business,financial
186256,2015-09-29,169739,95,fiscal,million,sales,quarter,customers,expect,international,fourth,business,line,revenue,net,additional,compared,government,product,segment,call,potential,believe
186352,2015-09-29,167152,96,news,bill,congress,house,limit,speaker,spending,wednesday,government,issues,fiscal,boehner,senate,reuters,debt,business,john,stopgap,minutes,thomson
186391,2015-09-29,186112,97,spending,news,capital,billion,government,euros,projects,reuters,increase,business,gradually,ireland,percent,dublin,growing,investment,cut,budget,average,increasing
186861,2015-09-29,186352,98,news,house,spending,senate,washington,budget,government,fiscal,mcconnell,boehner,obama,leader,wednesday,white,negotiations,majority,john,reuters,week,talks
186952,2015-09-30,184840,99,percent,news,consumer,spending,economy,rate,inflation,reuters,fed,month,rose,august,investors,report,increased,increase,prices,business,quarter,rates
187251,2015-09-30,180235,100,fiscal,gdp,policy,nber,figure,cbo,cuts,scale,source,bea,tax,budget,economy,authors,share,gray,potential,recession,log,data
187252,2015-09-30,167896,101,trade,tpp,policy,vote,congress,balanced,public,fiscal,tpa,issues,president,political,negotiations,deficits,time,deals,democratic,real,agreement,july
187584,2015-09-30,171362,102,percent,news,fiscal,gdp,billion,deficit,bulgaria,reuters,surplus,rose,finance,business,bank,august,levs,minutes,thomson,delayed,expects,period
187913,2015-09-30,185176,103,defense,news,spending,carter,obama,billion,bill,funds,budget,war,national,reuters,policy,veto,sought,pentagon,committees,business,base,form
187973,2015-09-30,172803,104,news,billion,spending,vetoes,rousseff,reais,reuters,congress,delayed,judiciary,wednesday,business,government,delays,vetoed,voting,brazils,president,bills,primary
188444,2015-10-01,185222,105,news,policy,oct,reuters,japan,business,japans,economic,difficult,week,minutes,ease,thomson,yamamoto,delayed,monetary,boj,click,information,finance
189007,2015-10-01,183251,106,news,budget,deficit,government,structural,valdes,reuters,spending,finance,business,balance,goal,bachelet,achieving,minister,journalists,administration,minutes,thomson,delayed
189260,2015-10-01,179551,107,news,spending,democrats,bill,republicans,house,military,defense,funds,measures,vote,reuters,policy,budget,business,ndaa,discretionary,authorization,senate,billion
189328,2015-10-01,189260,108,news,spending,house,defense,bill,budget,reuters,policy,democrats,republicans,business,voted,authorization,billion,minutes,thomson,delayed,obama,funds,passed
189579,2015-10-02,186952,109,news,spending,percent,household,economy,august,reuters,increase,boj,government,bank,sales,annual,consumers,consumer,economists,ease,market,forecasts,oct
189998,2015-10-02,159290,110,bebe,fiscal,shares,companys,stock,company,sales,million,share,time,liquidity,guidance,bebes,losses,trading,look,sell,founder,seeking,pro
190155,2015-10-02,187973,111,rousseff,news,government,fiscal,accounts,delays,court,reuters,impeachment,rousseffs,delayed,decree,ruling,ahead,public,tcu,business,prosecutors,administration,lawmakers
190340,2015-10-02,189328,112,news,obama,congress,house,spending,bill,budget,government,white,fiscal,reuters,funds,republicans,christmas,business,president,minutes,pass,thomson,delayed
