Date,Open,High,Low,Close,Volume,Adj Close,PB,NASDAQ
5/2/2016,117.830002,118.730003,116.57,118.57,28095200,118.57,7.193,1
4/29/2016,116.82,117.839996,115.839996,117.580002,37140600,117.580002,7.133,1
4/28/2016,119.580002,120.790001,116.230003,116.730003,87110100,116.730003,7.081,1
4/27/2016,107.940002,108.940002,106.309998,108.889999,52213100,108.889999,6.606,1
4/26/2016,110.489998,110.5,108.150002,108.760002,22521500,108.760002,6.598,1
4/25/2016,109.870003,110.669998,109.07,110.099998,21017900,110.099998,6.679,1
4/22/2016,111.209999,111.75,109.010002,110.559998,38458200,110.559998,6.683,1
4/21/2016,112.550003,114.040001,112.309998,113.440002,20875200,113.440002,6.857,1
4/20/2016,112.43,113.269997,111.559998,112.419998,21027900,112.419998,6.795,1
4/19/2016,111.099998,112.449997,109.160004,112.290001,30210500,112.290001,6.787,1
4/18/2016,109.739998,110.809998,109.199997,110.449997,21167200,110.449997,6.676,1
4/15/2016,110.790001,110.970001,109.199997,109.639999,20922800,109.639999,6.627,1
4/14/2016,110.620003,112.040001,110.260002,110.839996,28473300,110.839996,6.7,1
4/13/2016,112.230003,112.650002,106.519997,110.510002,88227400,110.510002,6.68,1
4/12/2016,109.339996,111.160004,108.989998,110.610001,26248100,110.610001,6.686,1
4/11/2016,110.699997,110.910004,108.769997,108.989998,39762300,108.989998,6.588,1
4/8/2016,114.25,114.330002,109.900002,110.629997,48497800,110.629997,6.687,1
4/7/2016,113.790001,114.889999,113.07,113.639999,20714500,113.639999,6.869,1
4/6/2016,112.470001,113.809998,112.419998,113.709999,20814600,113.709999,6.873,1
4/5/2016,112.110001,113.32,111.900002,112.220001,22962400,112.220001,6.783,1
4/4/2016,114.07,114.550003,111.610001,112.550003,48487900,112.550003,6.803,1
4/1/2016,113.75,116.169998,113.349998,116.059998,24760500,116.059998,7.015,1
3/31/2016,114.699997,115.010002,113.769997,114.099998,21207500,114.099998,6.897,1
3/30/2016,116.730003,116.989998,114.360001,114.699997,33235200,114.699997,7.383,1
3/29/2016,113.830002,116.32,113.639999,116.139999,29825300,116.139999,7.476,1
3/28/2016,113.32,114.589996,112.949997,113.690002,21351800,113.690002,7.318,1
3/24/2016,112.129997,113.089996,111.68,113.050003,17839100,113.050003,7.277,1
3/23/2016,112.010002,113.190002,112,112.540001,18562000,112.540001,7.244,1
3/22/2016,111.360001,112.879997,111.169998,112.25,19001100,112.25,7.226,1
3/21/2016,111.660004,112.370003,111.029999,111.849998,18448000,111.849998,7.2,1
3/18/2016,111.559998,112.419998,110.269997,111.449997,36256900,111.449997,7.174,1
3/17/2016,112.150002,112.690002,110.730003,111.019997,24241200,111.019997,7.146,1
3/16/2016,110.489998,112.5,110.099998,112.18,24744800,112.18,7.221,1
3/15/2016,109.110001,110.830002,108.839996,110.669998,17618500,110.669998,7.124,1
3/14/2016,109.279999,110.330002,108.769997,109.889999,17249400,109.889999,7.074,1
3/11/2016,108.480003,109.419998,107.919998,109.410004,20697600,109.410004,7.043,1
3/10/2016,107.910004,108.660004,105.769997,107.32,24854300,107.32,6.908,1
3/9/2016,106.699997,107.510002,105.489998,107.510002,20493300,107.510002,6.92,1
3/8/2016,104.779999,107.370003,104.400002,105.93,25617000,105.93,6.819,1
3/7/2016,108.07,108.07,104.720001,105.730003,31436400,105.730003,6.806,1
3/4/2016,110.050003,110.050003,107.93,108.389999,24938900,108.389999,6.977,1
3/3/2016,110.25,110.300003,108.540001,109.580002,21353100,109.580002,7.054,1
3/2/2016,109.68,110.550003,108.769997,109.949997,25670200,109.949997,7.077,1
3/1/2016,107.830002,109.82,107.599998,109.82,26817300,109.82,7.069,1
2/29/2016,107.599998,108.910004,106.75,106.919998,32779000,106.919998,6.882,1
2/26/2016,108.699997,109.449997,107.160004,107.919998,26686200,107.919998,6.947,1
2/25/2016,107.110001,108.07,105.610001,108.07,29906300,108.07,6.956,1
2/24/2016,104.209999,106.949997,102.739998,106.879997,34412400,106.879997,6.88,1
2/23/2016,106.849998,107.470001,105.120003,105.459999,25319300,105.459999,6.788,1
2/22/2016,105.489998,108.25,105.339996,107.160004,35709700,107.160004,6.898,1
2/19/2016,102.550003,105.019997,102.059998,104.57,32404500,104.57,6.731,1
